P37_8,P56,P60,P1,P2,PONDERA,P59_1,P59_2,P59_3,P59_4,P59_5,P59_6,P59_7,P59_8,P59_9,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8
0,2,0,1,57,90.4739583333333,0,0,0,0,0,0,0,0,0,1.0,7.0,,,,,,,1.0,6.0,5.0,,,,,
0,2,0,2,40,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,3.0,,,,,,,
0,2,0,2,50,90.4739583333333,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,3.0,,,,,,
0,2,0,1,57,67.5442185508479,0,0,0,0,0,0,0,0,0,7.0,,,,,,,,1.0,,,,,,,
0,2,0,2,58,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
0,3,0,1,59,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,7.0,,,,,,,
0,3,0,2,36,90.4739583333333,0,0,0,0,0,0,0,0,0,1.0,7.0,,,,,,,1.0,,,,,,,
0,2,0,2,34,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,1.0,2.0,,,,,,
0,2,0,1,50,174.687499999999,0,0,0,0,0,0,0,0,0,1.0,5.0,4.0,2.0,,,,,1.0,5.0,,,,,,
0,2,0,2,47,90.4739583333333,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,5.0,1.0,8.0,,,,,
0,3,0,1,42,192.265465869145,1,1,1,1,1,0,0,1,1,6.0,,,,,,,,1.0,,,,,,,
0,3,0,1,41,90.4739583333333,0,0,1,0,1,0,0,0,0,2.0,7.0,1.0,,,,,,8.0,5.0,,,,,,
0,3,0,1,29,174.687499999999,0,0,0,0,0,0,0,0,0,1.0,4.0,2.0,,,,,,8.0,7.0,5.0,2.0,3.0,4.0,6.0,1.0
0,2,0,2,26,90.4739583333333,1,0,0,0,0,0,0,1,0,2.0,,,,,,,,3.0,2.0,,,,,,
0,2,0,2,38,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,6.0,,,,,,,1.0,2.0,3.0,,,,,
0,3,0,1,30,184.06779661017,0,0,0,0,0,0,0,0,0,4.0,7.0,,,,,,,1.0,5.0,4.0,,,,,
0,3,0,1,40,184.06779661017,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,8.0,,,,,,,
0,3,0,1,46,192.265465869145,1,0,0,0,0,0,0,0,0,2.0,,,,,,,,4.0,2.0,,,,,,
0,2,1,2,28,192.265465869145,1,0,0,0,0,0,0,0,0,5.0,,,,,,,,4.0,3.0,,,,,,
0,2,0,1,57,323.675,0,0,0,0,0,0,0,0,0,2.0,4.0,,,,,,,2.0,1.0,,,,,,
0,2,0,1,24,184.06779661017,0,0,0,0,0,0,0,0,0,1.0,4.0,,,,,,,5.0,7.0,,,,,,
0,2,0,2,63,192.265465869145,0,1,0,0,0,0,0,0,0,8.0,,,,,,,,3.0,,,,,,,
0,2,1,1,55,192.265465869145,1,0,0,0,0,0,0,0,0,8.0,,,,,,,,8.0,,,,,,,
0,1,0,2,35,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,4.0,,,,,,
0,2,0,1,60,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,3.0,6.0,,,,,,
0,2,0,1,44,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,1.0,,,,,,,8.0,5.0,,,,,,
0,2,0,1,41,192.265465869145,0,0,0,0,0,0,0,0,0,4.0,2.0,,,,,,,5.0,8.0,,,,,,
0,3,1,2,51,323.675,1,0,0,0,0,0,0,0,0,5.0,1.0,,,,,,,7.0,8.0,5.0,3.0,2.0,,,
0,2,0,1,20,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
0,3,0,1,24,192.265465869145,0,0,0,0,0,0,0,0,0,5.0,2.0,,,,,,,3.0,4.0,2.0,,,,,
0,3,0,1,32,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,1.0,2.0,,,,,,
0,2,0,2,50,192.265465869145,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,3.0,,,,,,,
0,3,0,1,33,192.265465869145,1,0,0,0,0,0,1,1,0,8.0,,,,,,,,5.0,,,,,,,
0,3,0,1,49,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,4.0,,,,,,,1.0,,,,,,,
0,2,0,1,31,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,7.0,,,,,,,
0,2,0,1,34,192.265465869145,0,0,0,0,1,1,0,0,0,3.0,5.0,,,,,,,6.0,2.0,,,,,,
